deviceCategory,country,ga.users,users
desktop,AE,48,1
desktop,AR,1217,2
desktop,AT,40,1
desktop,AU,24,1
desktop,BE,235,1
desktop,BG,41,1
desktop,BR,181,1
desktop,CA,28,1
desktop,CH,215,1
desktop,CL,395,1
desktop,CN,107,1
desktop,CO,521,1
desktop,CZ,32,1
desktop,DE,1777,2
desktop,DK,127,1
desktop,EE,9,1
desktop,EG,12,1
desktop,ES,628609,5
desktop,FR,1465,2
desktop,GB,2076,2
desktop,GR,55,1
desktop,HR,15,1
desktop,HU,44,1
desktop,ID,6,1
desktop,IE,3227,2
desktop,IL,39,1
desktop,IN,182,1
desktop,IT,430,1
desktop,JP,19,1
desktop,KR,26,1
desktop,LT,25,1
desktop,LV,6,1
desktop,MA,207,1
desktop,MX,793,1
desktop,MY,6,1
desktop,NG,6,1
desktop,NL,294,1
desktop,NO,106,1
desktop,NZ,6,1
desktop,PE,189,1
desktop,PH,26,1
desktop,PL,1805,2
desktop,PT,4963,2
desktop,RO,234,1
desktop,RU,132,1
desktop,SA,23,1
desktop,SE,214,1
desktop,SI,13,1
desktop,SK,13,1
desktop,TR,68,1
desktop,TW,6,1
desktop,UA,53,1
desktop,US,3899,2
desktop,VN,18,1
desktop,ZA,16,1
mobile,AE,23,1
mobile,AR,467,1
mobile,AT,10,1
mobile,AU,22,1
mobile,BE,56,1
mobile,BG,20,1
mobile,BR,81,1
mobile,CA,9,1
mobile,CH,94,1
mobile,CL,142,1
mobile,CO,205,1
mobile,DE,227,1
mobile,DK,46,1
mobile,EE,3,1
mobile,EG,12,1
mobile,ES,446785,5
mobile,FR,361,1
mobile,GB,1051,2
mobile,GR,9,1
mobile,HR,3,1
mobile,HU,19,1
mobile,IE,39,1
mobile,IN,45,1
mobile,IT,169,1
mobile,JP,12,1
mobile,KR,3,1
mobile,MA,227,1
mobile,MX,419,1
mobile,MY,6,1
mobile,NG,6,1
mobile,NL,211,1
mobile,NO,34,1
mobile,NZ,3,1
mobile,PE,36,1
mobile,PH,6,1
mobile,PK,9,1
mobile,PL,35,1
mobile,PT,1501,2
mobile,RO,66,1
mobile,RU,40,1
mobile,SA,12,1
mobile,SE,53,1
mobile,SK,3,1
mobile,TH,9,1
mobile,TR,34,1
mobile,TW,3,1
mobile,UA,19,1
mobile,US,374,1
mobile,ZA,3,1
tablet,AE,7,1
tablet,AR,87,1
tablet,AT,10,1
tablet,AU,3,1
tablet,BE,50,1
tablet,BG,13,1
tablet,BR,3,1
tablet,CA,9,1
tablet,CH,27,1
tablet,CL,19,1
tablet,CN,3,1
tablet,CO,41,1
tablet,CZ,6,1
tablet,DE,50,1
tablet,DK,34,1
tablet,EG,3,1
tablet,ES,147406,5
tablet,FR,112,1
tablet,GB,346,1
tablet,GR,3,1
tablet,IE,16,1
tablet,IL,3,1
tablet,IN,3,1
tablet,IT,52,1
tablet,JP,6,1
tablet,LT,3,1
tablet,MA,33,1
tablet,MX,108,1
tablet,NL,63,1
tablet,NO,18,1
tablet,PE,6,1
tablet,PL,3,1
tablet,PT,476,1
tablet,RO,29,1
tablet,RU,6,1
tablet,SA,3,1
tablet,SE,32,1
tablet,SK,3,1
tablet,TH,3,1
tablet,US,137,1
