User Type,Source,Medium,Device,CheckOutOptions,Region ID,Users,Sessions,Pageviews,Transactions,TransRev
New Visitor,(direct),(none),desktop,(not set),(not set),458,1101,3646,0,0
New Visitor,(direct),(none),mobile,(not set),1012825,7,13,33,0,0
New Visitor,(direct),(none),desktop,(not set),20008,3,10,40,0,0
New Visitor,(direct),(none),desktop,(not set),20009,66,145,3867,0,0
New Visitor,(direct),(none),mobile,(not set),20010,82,191,3511,0,0
New Visitor,(direct),(none),mobile,(not set),20017,7,16,125,0,0
New Visitor,(direct),(none),mobile,(not set),20020,3,10,49,0,0
New Visitor,(direct),(none),mobile,(not set),20021,10,26,73,0,0
New Visitor,(direct),(none),desktop,(not set),20022,3,10,30,0,0
